rebalance_date,next_date,train_cutoff,n_train,long_ret,short_ret,long_only_ret,long_short_ret,long_only_ret_net,long_short_ret_net,turnover,n_long,n_short,long_stocks,short_stocks,benchmark_ret,excess_ret
2023/1/5,2023/2/6,2022/12/7,57605,0.031028353,0.055854334,0.031028353,-0.024825982,0.027028353,-0.028825982,1,10,10,"sh.601988,sh.600018,sh.601857,sh.601825,sz.002600,sh.600741,sh.601138,sh.601398,sz.000157,sh.601328","sh.600905,sz.000617,sz.002837,sz.003816,sz.300394,sh.601318,sz.300442,sh.600845,sz.300059,sh.605117",0.059797005,-0.032768653
2023/2/6,2023/3/6,2022/12/30,60482,0.051102544,0.175011268,0.051102544,-0.123908724,0.048302544,-0.126708724,0.7,10,10,"sh.601328,sh.601077,sh.601988,sh.601229,sh.601018,sz.003816,sh.601169,sh.600016,sh.601857,sz.300476","sz.000768,sz.002466,sh.600760,sh.601012,sh.600570,sz.000625,sh.600438,sh.688047,sz.300832,sz.302132",0.046391503,0.001911042
2023/3/6,2023/4/6,2023/2/6,63863,0.009008612,0.305123439,0.009008612,-0.296114828,0.007408612,-0.297714828,0.4,10,10,"sh.601077,sh.601328,sh.601169,sh.601229,sh.601988,sh.600015,sh.601006,sh.600000,sh.600016,sh.600104","sh.600118,sh.605117,sz.300502,sh.600570,sz.300418,sz.300394,sh.688041,sz.300896,sh.603019,sz.302132",0.051567708,-0.044159096
2023/4/6,2023/5/5,2023/3/8,67659,0.07188886,0.01620562,0.07188886,0.05568324,0.06868886,0.05248324,0.8,10,10,"sh.600018,sh.601825,sh.601939,sh.600741,sz.000166,sh.601818,sh.601229,sh.601018,sh.600016,sh.601916","sz.002463,sz.002230,sz.300059,sh.688041,sz.300418,sz.300502,sz.300308,sh.601186,sz.301236,sz.302132",-0.004860806,0.073549667
2023/5/5,2023/6/5,2023/4/3,70805,-0.046063918,0.078970228,-0.046063918,-0.125034146,-0.048063918,-0.127034146,0.5,10,10,"sh.601018,sh.601229,sh.601169,sh.601825,sh.601328,sh.601916,sh.600000,sh.601939,sh.601006,sh.600015","sz.000938,sh.688521,sh.600415,sh.600519,sh.688111,sh.600221,sh.688036,sz.300033,sh.688256,sz.300394",-0.015781851,-0.032282067
2023/6/5,2023/7/5,2023/5/8,74480,-5.10E-05,-0.02081486,-5.10E-05,0.020763878,-0.003250982,0.017563878,0.8,10,10,"sz.002001,sh.600219,sh.601825,sz.000657,sh.600362,sz.001965,sz.000630,sh.600515,sh.601018,sh.601669","sz.002594,sh.601186,sh.600016,sh.600000,sh.600519,sz.002311,sh.601360,sh.688256,sz.000858,sh.600415",0.022356361,-0.025607343
2023/7/5,2023/8/7,2023/6/5,77988,0.039807624,0.104895933,0.039807624,-0.065088309,0.036207624,-0.068688309,0.9,10,10,"sh.600104,sh.600362,sh.601868,sh.688047,sh.601088,sh.600926,sz.000776,sh.600018,sz.000157,sz.300251","sh.600000,sh.601166,sz.002371,sh.601136,sh.601169,sz.000063,sz.300059,sh.600015,sh.601077,sz.302132",0.034149642,0.002057982
2023/8/7,2023/9/5,2023/7/10,82019,-0.020195886,-0.108645067,-0.020195886,0.088449181,-0.024195886,0.084449181,1,10,10,"sh.600233,sh.601229,sz.002202,sh.601398,sh.600016,sh.600919,sh.601988,sh.601006,sh.600219,sh.601288","sz.300502,sz.302132,sh.603019,sz.002230,sz.300124,sh.601138,sh.600221,sh.600150,sz.300418,sz.300308",-0.036168816,0.01197293
2023/9/5,2023/10/9,2023/8/8,85734,-0.002374754,0.003846278,-0.002374754,-0.006221033,-0.005174754,-0.009021033,0.7,10,10,"sh.601006,sh.600674,sh.601669,sh.601288,sh.601800,sh.600028,sh.601727,sh.600018,sh.601988,sh.688009","sz.000063,sh.600221,sh.600000,sz.300866,sz.300059,sh.600415,sh.600030,sz.300502,sz.002594,sh.688506",-0.022223543,0.017048788
2023/10/9,2023/11/6,2023/9/1,88916,-0.011548275,-0.037250742,-0.011548275,0.025702466,-0.014748275,0.022502466,0.8,10,10,"sh.601229,sh.600015,sh.601825,sh.601328,sh.601288,sh.600025,sh.600104,sh.601818,sh.601169,sh.600018","sz.002594,sz.002230,sz.000063,sh.603288,sz.300059,sh.603019,sz.000977,sh.601127,sz.300394,sh.600436",-0.02581439,0.011066115
2023/11/6,2023/12/5,2023/10/9,92444,-0.023158503,-0.091618174,-0.023158503,0.068459671,-0.026358503,0.065259671,0.8,10,10,"sh.601800,sh.601117,sh.600918,sh.688303,sh.600104,sh.601998,sh.688009,sh.601916,sh.600482,sh.600025","sh.688981,sh.605117,sh.600809,sh.603501,sz.000988,sh.601127,sz.000568,sh.600221,sz.000858,sz.002594",-0.018296327,-0.008062176
2023/12/5,2024/1/5,2023/11/7,96149,0.017359384,-0.044462352,0.017359384,0.061821737,0.014159384,0.058621737,0.8,10,10,"sh.601006,sh.600999,sh.601018,sh.601916,sh.600015,sh.601825,sh.601169,sh.600025,sh.601988,sz.000895","sz.002027,sh.688041,sz.000988,sh.600570,sz.300059,sh.601127,sh.688271,sh.600887,sz.000625,sh.600905",-0.006660458,0.020819842
2024/1/5,2024/2/5,2023/12/7,100039,0.041541169,-0.082568136,0.041541169,0.124109305,0.038741169,0.121309305,0.7,10,10,"sh.601229,sh.601006,sh.601825,sh.600900,sh.601988,sh.601288,sh.600919,sh.601939,sh.601398,sh.601328","sz.002027,sz.002493,sz.002371,sz.300059,sh.600406,sz.000596,sh.600845,sz.000858,sz.301236,sh.601166",-0.062299053,0.101040222
